DateCode,FeatureName,Energy Type,Value
2008,Aberdeenshire,Manufactured Fuels,38.138000000000005
2008,Aberdeenshire,Petroleum Products,3701.6340000000005
2008,Angus,Bioenergy & Wastes,29.655
2008,Angus,Coal,12.602
2008,Angus,Electricity,932.354
2008,Angus,Gas,1006.519
2008,Angus,Manufactured Fuels,6.881
2008,Angus,Petroleum Products,1301.521
2008,Argyll and Bute,Bioenergy & Wastes,27.906
2008,Argyll and Bute,Coal,29.404999999999998
2008,Argyll and Bute,Electricity,790.015
2008,Argyll and Bute,Gas,527.956
2008,Argyll and Bute,Manufactured Fuels,8.790000000000001
2008,Argyll and Bute,Petroleum Products,1193.7620000000002
2008,City of Edinburgh,Bioenergy & Wastes,73.975
2008,City of Edinburgh,Coal,16.631999999999998
