DateCode,FeatureName,Energy Consuming Sector,Value
2006,Glasgow City,Road Transport,3238.05
2006,Highland,Agriculture,292.09000000000003
2006,Highland,Commercial,766.28
2006,Highland,Domestic,2345.521
2006,Highland,Industrial,1616.446
2006,Highland,Industrial & Commercial,1026.057
2006,Highland,Public Sector,86.559
2006,Highland,Rail,55.321999999999996
2006,Highland,Road Transport,2000.472
2006,Inverclyde,Agriculture,7.254
2006,Inverclyde,Commercial,218.393
2006,Inverclyde,Domestic,787.3820000000001
2006,Inverclyde,Industrial,295.38699999999994
2006,Inverclyde,Industrial & Commercial,234.81
2006,Inverclyde,Public Sector,1.2449999999999999
2006,Inverclyde,Rail,0.19
2006,Inverclyde,Road Transport,490.98
2006,Midlothian,Agriculture,21.274
2006,Midlothian,Commercial,178.042
2006,Midlothian,Domestic,792.607
2006,Midlothian,Industrial,286.16999999999996
2006,Midlothian,Industrial & Commercial,205.921
2006,Midlothian,Public Sector,2.9960000000000004
2006,Midlothian,Rail,7.479
2006,Midlothian,Road Transport,550.0600000000001
2006,Moray,Agriculture,89.691
2006,Moray,Commercial,797.554
2006,Moray,Domestic,961.363
2006,Moray,Industrial,1035.9099999999999
2006,Moray,Industrial & Commercial,332.106
2006,Moray,Public Sector,8.025
2006,Moray,Rail,8.349
2006,Moray,Road Transport,584.395
2006,Na h-Eileanan Siar,Agriculture,34.302
2006,Na h-Eileanan Siar,Commercial,26.992
2006,Na h-Eileanan Siar,Domestic,294.758
2006,Na h-Eileanan Siar,Industrial,98.27600000000001
2006,Na h-Eileanan Siar,Industrial & Commercial,60.79
2006,Na h-Eileanan Siar,Public Sector,8.475999999999999
2006,Na h-Eileanan Siar,Rail,0.0
2006,Na h-Eileanan Siar,Road Transport,168.099
2006,North Ayrshire,Agriculture,44.332
2006,North Ayrshire,Commercial,1144.041
2006,North Ayrshire,Domestic,1367.8419999999999
2006,North Ayrshire,Industrial,1761.606
2006,North Ayrshire,Industrial & Commercial,603.178
2006,North Ayrshire,Public Sector,2.981
2006,North Ayrshire,Rail,2.714
2006,North Ayrshire,Road Transport,669.968
2006,North Lanarkshire,Agriculture,25.544
2006,North Lanarkshire,Commercial,1071.729
2006,North Lanarkshire,Domestic,3164.65
2006,North Lanarkshire,Industrial,1766.029
2006,North Lanarkshire,Industrial & Commercial,1039.489
2006,North Lanarkshire,Public Sector,1.4660000000000002
2006,North Lanarkshire,Rail,21.157
2006,North Lanarkshire,Road Transport,2588.641
2006,Orkney Islands,Agriculture,117.318
2006,Orkney Islands,Commercial,28.84
2006,Orkney Islands,Domestic,202.67399999999998
2006,Orkney Islands,Industrial,75.905
2006,Orkney Islands,Industrial & Commercial,59.72
2006,Orkney Islands,Public Sector,14.93
2006,Orkney Islands,Rail,0.0
2006,Orkney Islands,Road Transport,101.2
2006,Perth and Kinross,Agriculture,157.357
2006,Perth and Kinross,Commercial,383.802
2006,Perth and Kinross,Domestic,1541.8490000000002
2006,Perth and Kinross,Industrial,610.343
2006,Perth and Kinross,Industrial & Commercial,431.008
2006,Perth and Kinross,Public Sector,9.221
2006,Perth and Kinross,Rail,68.652
2006,Perth and Kinross,Road Transport,2073.594
2006,Renfrewshire,Agriculture,17.633
2006,Renfrewshire,Commercial,597.708
2006,Renfrewshire,Domestic,1650.664
2006,Renfrewshire,Industrial,899.0070000000001
2006,Renfrewshire,Industrial & Commercial,589.583
2006,Renfrewshire,Public Sector,1.307
2006,Renfrewshire,Rail,1.88
2006,Renfrewshire,Road Transport,1207.699
2006,Scottish Borders,Agriculture,269.38800000000003
2006,Scottish Borders,Commercial,325.561
2006,Scottish Borders,Domestic,1204.171
2006,Scottish Borders,Industrial,571.036
2006,Scottish Borders,Industrial & Commercial,328.454
2006,Scottish Borders,Public Sector,5.354
2006,Scottish Borders,Rail,30.611
2006,Scottish Borders,Road Transport,943.216
2006,Shetland Islands,Agriculture,63.464000000000006
2006,Shetland Islands,Commercial,46.882
2006,Shetland Islands,Domestic,204.829
2006,Shetland Islands,Industrial,145.622
2006,Shetland Islands,Industrial & Commercial,101.262
2006,Shetland Islands,Public Sector,10.559000000000001
2006,Shetland Islands,Rail,0.0
2006,Shetland Islands,Road Transport,153.785
2006,South Ayrshire,Agriculture,99.57
2006,South Ayrshire,Commercial,414.53099999999995
2006,South Ayrshire,Domestic,1223.334
2006,South Ayrshire,Industrial,724.423
2006,South Ayrshire,Industrial & Commercial,339.177
2006,South Ayrshire,Public Sector,2.326
2006,South Ayrshire,Rail,4.273
2006,South Ayrshire,Road Transport,821.6859999999999
2006,South Lanarkshire,Agriculture,119.091
2006,South Lanarkshire,Commercial,790.983
2006,South Lanarkshire,Domestic,3141.937
2006,South Lanarkshire,Industrial,1352.808
2006,South Lanarkshire,Industrial & Commercial,902.697
2006,South Lanarkshire,Public Sector,8.117999999999999
2006,South Lanarkshire,Rail,32.684
2006,South Lanarkshire,Road Transport,2445.7180000000003
2006,Stirling,Agriculture,61.675000000000004
2006,Stirling,Commercial,602.483
2006,Stirling,Domestic,922.2049999999999
2006,Stirling,Industrial,856.29
2006,Stirling,Industrial & Commercial,367.822
2006,Stirling,Public Sector,4.091
2006,Stirling,Rail,18.21
2006,Stirling,Road Transport,1023.115
2006,West Dunbartonshire,Agriculture,7.468
2006,West Dunbartonshire,Commercial,257.315
2006,West Dunbartonshire,Domestic,840.518
2006,West Dunbartonshire,Industrial,370.72
2006,West Dunbartonshire,Industrial & Commercial,279.318
2006,West Dunbartonshire,Public Sector,0.6880000000000001
2006,West Dunbartonshire,Rail,1.026
2006,West Dunbartonshire,Road Transport,543.579
2006,West Lothian,Agriculture,27.834
2006,West Lothian,Commercial,618.79
2006,West Lothian,Domestic,1634.698
2006,West Lothian,Industrial,938.9300000000001
2006,West Lothian,Industrial & Commercial,641.674
2006,West Lothian,Public Sector,2.354
2006,West Lothian,Rail,13.73
2006,West Lothian,Road Transport,1442.5110000000002
2007,Aberdeen City,Agriculture,10.552999999999999
2007,Aberdeen City,Commercial,842.101
2007,Aberdeen City,Domestic,2170.9990000000003
2007,Aberdeen City,Industrial,1453.294
2007,Aberdeen City,Industrial & Commercial,827.73
2007,Aberdeen City,Public Sector,31.729
2007,Aberdeen City,Rail,10.57
2007,Aberdeen City,Road Transport,1179.722
2007,Aberdeenshire,Agriculture,327.175
2007,Aberdeenshire,Commercial,492.029
2007,Aberdeenshire,Domestic,2584.453
2007,Aberdeenshire,Industrial,1100.458
2007,Aberdeenshire,Industrial & Commercial,728.259
2007,Aberdeenshire,Public Sector,18.569000000000003
2007,Aberdeenshire,Rail,42.374
2007,Aberdeenshire,Road Transport,2288.81
2007,Angus,Agriculture,77.496
2007,Angus,Commercial,299.8
2007,Angus,Domestic,1153.069
2007,Angus,Industrial,514.11
2007,Angus,Industrial & Commercial,327.478
2007,Angus,Public Sector,3.001
2007,Angus,Rail,38.298
2007,Angus,Road Transport,910.348
2007,Argyll and Bute,Agriculture,107.549
2007,Argyll and Bute,Commercial,176.804
2007,Argyll and Bute,Domestic,884.73
2007,Argyll and Bute,Industrial,412.438
2007,Argyll and Bute,Industrial & Commercial,234.624
2007,Argyll and Bute,Public Sector,74.107
2007,Argyll and Bute,Rail,5.519
2007,Argyll and Bute,Road Transport,713.724
2007,City of Edinburgh,Agriculture,9.9
2007,City of Edinburgh,Commercial,1752.424
2007,City of Edinburgh,Domestic,4427.259
2007,City of Edinburgh,Industrial,2408.518
2007,City of Edinburgh,Industrial & Commercial,1778.599
2007,City of Edinburgh,Public Sector,11.302
2007,City of Edinburgh,Rail,52.906
2007,City of Edinburgh,Road Transport,2994.69
2007,Clackmannanshire,Agriculture,9.05
2007,Clackmannanshire,Commercial,504.142
2007,Clackmannanshire,Domestic,507.82099999999997
2007,Clackmannanshire,Industrial,632.6179999999999
2007,Clackmannanshire,Industrial & Commercial,243.462
2007,Clackmannanshire,Public Sector,0.411
2007,Clackmannanshire,Rail,0.238
2007,Clackmannanshire,Road Transport,263.789
2007,Dumfries and Galloway,Agriculture,453.812
2007,Dumfries and Galloway,Commercial,519.104
2007,Dumfries and Galloway,Domestic,1474.0790000000002
2007,Dumfries and Galloway,Industrial,908.97
2007,Dumfries and Galloway,Industrial & Commercial,580.581
2007,Dumfries and Galloway,Public Sector,21.03
2007,Dumfries and Galloway,Rail,26.873
2007,Dumfries and Galloway,Road Transport,2122.7059999999997
2007,Dundee City,Agriculture,0.962
2007,Dundee City,Commercial,572.249
2007,Dundee City,Domestic,1311.397
2007,Dundee City,Industrial,879.933
2007,Dundee City,Industrial & Commercial,479.842
2007,Dundee City,Public Sector,0.637
2007,Dundee City,Rail,11.405
2007,Dundee City,Road Transport,849.103
2007,East Ayrshire,Agriculture,87.679
2007,East Ayrshire,Commercial,370.98
2007,East Ayrshire,Domestic,1247.607
2007,East Ayrshire,Industrial,669.669
2007,East Ayrshire,Industrial & Commercial,285.086
2007,East Ayrshire,Public Sector,4.948
2007,East Ayrshire,Rail,4.561
2007,East Ayrshire,Road Transport,941.3969999999999
2007,East Dunbartonshire,Agriculture,8.203
2007,East Dunbartonshire,Commercial,182.461
2007,East Dunbartonshire,Domestic,1172.522
